name,url,country,location,qs_ranking_preview,the_ranking_preview,arwu_ranking_preview,bachelor_from,bachelor_to,master_from,master_to,doctorate_from,doctorate_to,location_full,establishment_year,total_students,international_students,female_students,acceptance_rate,qs_rating,the_rating,rating_usa,iso3_code,country_name,iso2_code,gdp,unemployment_rate,school_enrollment_tert,adult_literacy_rate,heritage_year,economic_freedom_score
Technical University of Denmark,https://www.unipage.net/en/628/technical_university_of_denmark,DK,"Denmark,Kongens Lyngby",109.0,124.0,151.0,"16,950","19,000","8,475","19,000",,,"Kongens Lyngby, Denmark",1829.0,"9,265","2,316",32%,,#109,#124,,DNK,Denmark,DK,429457372071.869,5.587,81.2308197021484,,2025.0,79.1
University of California-Irvine,https://www.unipage.net/en/404/university_of_california_irvine,US,"United States,Irvine",,90.0,65.0,"43,999","43,999","10,997","10,997",,,"Irvine, United States",1965.0,"35,926","9,323",51%,21%,,,,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
Hebrew University of Jerusalem,https://www.unipage.net/en/243/hebrew_university_of_jerusalem,IL,"Israel,Jerusalem",281.0,301.0,86.0,"7,800","15,500",0,"32,500",,,"Jerusalem, Israel",1925.0,"16,137",807,58%,30%,#281,#326,,,,,,,,,,
Université de Montréal,https://www.unipage.net/en/45/universit_de_montr_al,CA,"Canada,Quebec City",159.0,125.0,151.0,"6,764","10,127","3,640","12,054","6,348","10,536","Quebec City, Canada",1878.0,"36,794","8,095",59%,50%,#159,#125,,CAN,Canada,CA,2241253230970.34,6.45,76.2586212158203,,2025.0,75.5
National Taiwan University,https://www.unipage.net/en/434/national_taiwan_university,TW,"Taiwan,Taipei",68.0,172.0,,"1,800","1,800","1,777","13,196","1,709","2,024","Taipei, Taiwan",1928.0,"24,810","2,977",41%,,#68,#172,,,,,,,,,,
University of Basel,https://www.unipage.net/en/19/university_of_basel,CH,"Switzerland,Basel",131.0,126.0,81.0,"1,738","1,968","1,738","20,479",698,730,"Basel, Switzerland",1460.0,"11,518","3,110",56%,,#131,#126,,CHE,Switzerland,CH,936564198048.516,4.11,74.0060882568359,,2025.0,83.7
Hong Kong University of Science and Technology,https://www.unipage.net/en/16/hong_kong_university_of_science_and_technology,HK,"Hong Kong,Hong Kong",47.0,66.0,301.0,"18,052","66,640","5,428","150,953","5,400","76,756","Hong Kong, Hong Kong",1991.0,"9,668","3,119",,,#47,#66,,,,,,,,,,
Trinity College Dublin,https://www.unipage.net/en/167/trinity_college_dublin,IE,"Ireland,Dublin",87.0,139.0,201.0,"5,326","63,596","4,113","41,358","12,104","24,622","Dublin, Ireland",1592.0,"16,564","4,187",60%,,#87,#139,,IRL,Ireland,IE,577389475009.922,4.369,76.6049499511719,,2025.0,83.1
University of Freiburg,https://www.unipage.net/en/425/university_of_freiburg,DE,"Germany,Freiburg",212.0,128.0,101.0,"3,390","3,390","3,390","13,560",,,"Freiburg, Germany",1457.0,"21,475","4,939",53%,,#212,#128,,DEU,Germany,DE,4659929336890.62,3.406,78.5947494506836,,2025.0,71.6
KAIST,https://www.unipage.net/en/236/kaist,KR,"South Korea,Daejeon",53.0,82.0,201.0,"5,871","5,871","3,461","13,604",,,"Daejeon, South Korea",1971.0,"9,481",758,20%,,#53,#82,,KOR,"Korea, Rep.",KR,1712792854202.37,2.604,106.709167480469,97.9700012207031,,
